,Country (or dependent territory),1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
24,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,1713.0,1378.0,1101.0,877.0,706.0,524.0,742.0,1027.0,1149.0,1270.0,1501.0,1565.0,1811.0,2283.0,2722.0,2928.0,3352.0,4108.0,4975.0,4586.0,4475.0,4861.0,4495.0,4748.0,4844.0,4191.0
25,Botswana,96.0,123.0,155.0,221.0,297.0,333.0,348.0,431.0,494.0,620.0,856.0,943.0,798.0,837.0,847.0,708.0,916.0,1223.0,1375.0,2254.0,2697.0,2723.0,2786.0,2721.0,2767.0,3001.0,3008.0,3050.0,2855.0,3210.0,3333.0,3115.0,3044.0,4149.0,4879.0,5328.0,5342.0,5667.0,5562.0,5177.0,6246.0,7426.0,6886.0,6800.0,7150.0,6361.0
26,Brazil,367.0,400.0,502.0,694.0,868.0,996.0,1150.0,1307.0,1449.0,1559.0,1564.0,1803.0,1865.0,1301.0,1310.0,1370.0,1613.0,1735.0,1902.0,2540.0,2706.0,2476.0,2334.0,2579.0,3622.0,4781.0,5140.0,5250.0,5007.0,3431.0,3711.0,3143.0,2828.0,3044.0,3596.0,4731.0,5808.0,7247.0,8707.0,8475.0,11121.0,13039.0,12158.0,12072.0,11729.0,8528.0
27,British Virgin Islands,2023.0,1717.0,1765.0,1971.0,2330.0,2537.0,2747.0,2827.0,3263.0,4023.0,4923.0,5234.0,5951.0,6444.0,6780.0,6754.0,7021.0,7993.0,8591.0,9826.0,8894.0,8099.0,10151.0,13342.0,17001.0,21547.0,23840.0,27089.0,30467.0,33340.0,36380.0,38412.0,36507.0,32364.0,33100.0,37550.0,39401.0,40873.0,38744.0,33119.0,32840.0,32824.0,31895.0,31509.0,30501.0,30144.0
28,Brunei,1734.0,1828.0,2398.0,3674.0,8734.0,9125.0,10684.0,12520.0,13521.0,18853.0,32066.0,27539.0,26118.0,22893.0,21904.0,19841.0,11762.0,13136.0,12150.0,13247.0,15181.0,15513.0,17048.0,16264.0,15757.0,17780.0,18741.0,18590.0,14162.0,15739.0,20117.0,18412.0,18856.0,20786.0,24523.0,29184.0,34524.0,36241.0,41884.0,30723.0,34851.0,46377.0,46974.0,43971.0,41022.0,30553.0
29,Bulgaria,1059.0,1041.0,1211.0,1435.0,1553.0,1364.0,1441.0,1469.0,1586.0,1064.0,1223.0,1399.0,1516.0,1626.0,1737.0,1840.0,1957.0,2131.0,2454.0,2477.0,2350.0,961.0,1095.0,1395.0,1265.0,1727.0,1222.0,1365.0,1799.0,1674.0,1643.0,1782.0,2079.0,2700.0,3370.0,3882.0,4499.0,5915.0,7276.0,6941.0,6742.0,7743.0,7335.0,7670.0,7876.0,6847.0
30,Burkina Faso,80.0,80.0,101.0,114.0,124.0,145.0,136.0,161.0,203.0,267.0,283.0,256.0,230.0,205.0,178.0,203.0,259.0,294.0,316.0,308.0,356.0,350.0,365.0,338.0,195.0,238.0,252.0,232.0,258.0,267.0,227.0,237.0,261.0,332.0,371.0,407.0,420.0,475.0,569.0,552.0,574.0,666.0,673.0,699.0,716.0,611.0
31,Burundi,71.0,72.0,69.0,85.0,95.0,113.0,122.0,142.0,156.0,197.0,230.0,234.0,239.0,246.0,217.0,245.0,249.0,227.0,206.0,207.0,204.0,202.0,184.0,162.0,174.0,160.0,137.0,152.0,137.0,122.0,105.0,95.0,88.0,80.0,89.0,141.0,155.0,159.0,183.0,194.0,215.0,228.0,230.0,234.0,259.0,245.0
32,Cambodia,110.0,107.0,103.0,87.0,88.0,95.0,102.0,95.0,106.0,102.0,107.0,116.0,120.0,125.0,131.0,137.0,140.0,170.0,199.0,200.0,188.0,241.0,248.0,243.0,258.0,309.0,318.0,304.0,269.0,294.0,301.0,321.0,338.0,362.0,407.0,472.0,538.0,629.0,743.0,735.0,783.0,879.0,948.0,1013.0,1090.0,1159.0
33,Cameroon,171.0,187.0,234.0,310.0,322.0,412.0,436.0,496.0,635.0,820.0,993.0,905.0,881.0,892.0,852.0,813.0,964.0,1019.0,967.0,864.0,981.0,916.0,907.0,931.0,525.0,640.0,667.0,620.0,650.0,646.0,583.0,589.0,648.0,791.0,893.0,915.0,965.0,1071.0,1192.0,1165.0,1147.0,1259.0,1222.0,1331.0,1407.0,1217.0
