,Country (or dependent territory),1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
129,Montserrat,670.0,774.0,894.0,993.0,1083.0,1221.0,1064.0,1168.0,1331.0,1608.0,2376.0,2810.0,3136.0,3369.0,3638.0,3850.0,4138.0,4538.0,5203.0,5904.0,7026.0,5979.0,6204.0,6165.0,6823.0,6729.0,5858.0,5356.0,5665.0,6398.0,7252.0,7976.0,9101.0,9231.0,9492.0,10231.0,10647.0,11062.0,11703.0,12069.0,11208.0,12758.0,12431.0,11749.0,11579.0,11553.0
130,Morocco,290.0,303.0,357.0,429.0,516.0,591.0,616.0,694.0,812.0,953.0,1101.0,872.0,859.0,758.0,678.0,669.0,862.0,932.0,1079.0,1095.0,1215.0,1286.0,1291.0,1196.0,1332.0,1426.0,1561.0,1404.0,1486.0,1458.0,1344.0,1355.0,1438.0,1756.0,1988.0,2058.0,2247.0,2549.0,2951.0,2929.0,2903.0,3116.0,2979.0,3206.0,3243.0,2919.0
131,Mozambique,391.0,425.0,466.0,536.0,547.0,552.0,490.0,482.0,489.0,500.0,480.0,452.0,463.0,422.0,471.0,439.0,453.0,265.0,226.0,244.0,264.0,238.0,165.0,165.0,163.0,162.0,215.0,251.0,281.0,298.0,275.0,254.0,260.0,281.0,333.0,366.0,382.0,419.0,500.0,461.0,418.0,525.0,593.0,605.0,623.0,529.0
132,Myanmar,99.0,99.0,90.0,114.0,133.0,120.0,130.0,130.0,142.0,159.0,171.0,168.0,168.0,170.0,171.0,172.0,127.0,123.0,111.0,118.0,124.0,125.0,139.0,149.0,161.0,174.0,186.0,197.0,127.0,140.0,153.0,158.0,213.0,202.0,207.0,239.0,275.0,360.0,507.0,641.0,801.0,1111.0,1161.0,1173.0,1241.0,1161.0
133,Namibia,811.0,879.0,853.0,1049.0,1244.0,1291.0,1209.0,1314.0,1482.0,1792.0,2500.0,2220.0,1994.0,2061.0,1674.0,1338.0,1460.0,1784.0,1873.0,1825.0,1893.0,1939.0,2135.0,2090.0,2319.0,2425.0,2344.0,2368.0,2150.0,2087.0,2059.0,1837.0,1717.0,2490.0,3236.0,3513.0,3815.0,4196.0,4011.0,4124.0,5143.0,5540.0,5680.0,5418.0,5349.0,4674.0
134,Nauru,2364.0,2544.0,2942.0,3743.0,4793.0,4750.0,4767.0,4720.0,5063.0,5165.0,5597.0,5882.0,5501.0,5185.0,5007.0,4043.0,3990.0,4337.0,4923.0,5090.0,5377.0,4869.0,4469.0,3787.0,3720.0,3496.0,3364.0,3075.0,2387.0,2447.0,2163.0,1894.0,1892.0,2387.0,2731.0,2599.0,2514.0,2294.0,4135.0,5409.0,6234.0,8551.0,11966.0,15100.0,17857.0,18469.0
135,Nepal,87.0,87.0,99.0,90.0,112.0,121.0,110.0,107.0,123.0,137.0,140.0,156.0,161.0,156.0,157.0,164.0,165.0,180.0,198.0,193.0,202.0,180.0,190.0,186.0,208.0,212.0,215.0,232.0,214.0,231.0,241.0,244.0,241.0,260.0,289.0,324.0,349.0,420.0,444.0,479.0,606.0,679.0,652.0,655.0,701.0,725.0
136,Netherlands,2906.0,3359.0,4079.0,5337.0,6253.0,7300.0,7900.0,9158.0,11122.0,12654.0,13661.0,11426.0,10976.0,10574.0,9868.0,9813.0,13628.0,16530.0,17561.0,17212.0,21070.0,21527.0,23687.0,22904.0,24388.0,28899.0,28668.0,26361.0,27509.0,27960.0,25972.0,26687.0,28949.0,35370.0,40026.0,41546.0,44303.0,50986.0,56675.0,51757.0,50289.0,53551.0,49491.0,51560.0,52148.0,44332.0
137,Netherlands Antilles,1394.0,1494.0,1678.0,1864.0,2324.0,2739.0,3053.0,3445.0,4195.0,4961.0,5476.0,6261.0,6628.0,6518.0,6506.0,6558.0,8429.0,8739.0,8996.0,10035.0,10520.0,10975.0,11454.0,12175.0,13088.0,13560.0,14318.0,14951.0,15329.0,15443.0,16020.0,16434.0,16777.0,17344.0,17785.0,17312.0,17889.0,18422.0,19373.0,18997.0,,,,,,
138,New Caledonia,3602.0,3998.0,4465.0,4569.0,5192.0,6369.0,6059.0,6218.0,6165.0,7505.0,8335.0,6758.0,6171.0,5530.0,5257.0,5553.0,7676.0,9348.0,12793.0,13232.0,15008.0,15404.0,16584.0,15632.0,16436.0,19178.0,18643.0,17921.0,17616.0,17703.0,16246.0,15403.0,17099.0,22151.0,26146.0,27270.0,30019.0,37346.0,37725.0,35693.0,37976.0,41392.0,37160.0,38437.0,39398.0,33966.0
139,New Zealand,2304.0,2764.0,3295.0,4249.0,4687.0,4484.0,4473.0,4870.0,5902.0,6697.0,7425.0,7956.0,7866.0,7739.0,7384.0,7376.0,9207.0,11617.0,13886.0,13283.0,13374.0,12722.0,12008.0,12805.0,14784.0,17185.0,18695.0,18470.0,15113.0,15696.0,14111.0,13850.0,15781.0,20872.0,25117.0,27746.0,26653.0,32402.0,31101.0,28029.0,33551.0,38248.0,39815.0,42448.0,44207.0,38294.0
140,Nicaragua,477.0,492.0,509.0,613.0,826.0,838.0,944.0,1110.0,1029.0,715.0,836.0,937.0,960.0,1016.0,1010.0,975.0,962.0,958.0,849.0,849.0,861.0,865.0,898.0,937.0,854.0,896.0,916.0,917.0,952.0,981.0,1016.0,1049.0,1010.0,1016.0,1091.0,1175.0,1245.0,1351.0,1518.0,1479.0,1523.0,1680.0,1776.0,1829.0,1960.0,2087.0
141,Niger,95.0,99.0,121.0,125.0,140.0,173.0,199.0,228.0,300.0,382.0,452.0,384.0,340.0,296.0,233.0,224.0,282.0,317.0,320.0,290.0,333.0,306.0,308.0,273.0,163.0,191.0,197.0,175.0,193.0,183.0,154.0,162.0,178.0,211.0,223.0,250.0,261.0,295.0,358.0,344.0,351.0,378.0,394.0,418.0,431.0,359.0
142,Nigeria,426.0,483.0,574.0,643.0,1015.0,1256.0,1489.0,1681.0,1819.0,2137.0,2693.0,2424.0,2321.0,2278.0,2204.0,2131.0,1050.0,631.0,738.0,650.0,715.0,652.0,577.0,549.0,445.0,452.0,468.0,477.0,484.0,481.0,607.0,563.0,736.0,821.0,1038.0,1293.0,1632.0,1819.0,2214.0,1756.0,2315.0,2529.0,2740.0,2980.0,3203.0,2714.0
143,North Korea,384.0,413.0,443.0,477.0,515.0,558.0,571.0,587.0,604.0,622.0,639.0,653.0,808.0,794.0,745.0,722.0,805.0,836.0,764.0,811.0,735.0,663.0,593.0,503.0,384.0,222.0,479.0,462.0,456.0,452.0,462.0,476.0,468.0,471.0,473.0,548.0,575.0,597.0,551.0,494.0,570.0,638.0,643.0,666.0,696.0,642.0
144,North Macedonia,,,,,,,,,,,,,,,,,,,,,1459.0,1466.0,1386.0,1508.0,1820.0,2409.0,2370.0,1987.0,1898.0,1932.0,,,,,,,,,,,,,,,,
145,North Yemen,85.0,99.0,141.0,126.0,150.0,178.0,190.0,212.0,226.0,240.0,260.0,275.0,300.0,301.0,298.0,304.0,307.0,311.0,315.0,321.0,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Norway,3306.0,3735.0,4414.0,5691.0,6813.0,8207.0,8929.0,10270.0,11470.0,13056.0,15784.0,15530.0,15251.0,14957.0,15012.0,15769.0,18898.0,22536.0,24263.0,24324.0,28250.0,28592.0,30530.0,27979.0,29331.0,34871.0,37282.0,36564.0,34721.0,36334.0,38141.0,38540.0,43070.0,50154.0,57603.0,66760.0,74012.0,84995.0,96811.0,79990.0,87611.0,100558.0,101568.0,102833.0,96803.0,74186.0
147,Oman,371.0,421.0,495.0,627.0,2047.0,2489.0,2891.0,2936.0,2780.0,3582.0,5419.0,6187.0,6157.0,6170.0,6467.0,6861.0,5212.0,5265.0,4939.0,5321.0,6377.0,5927.0,6220.0,5979.0,5971.0,6228.0,6806.0,7031.0,6261.0,6979.0,8685.0,8560.0,8670.0,9070.0,10115.0,12399.0,14575.0,16226.0,22963.0,17519.0,19921.0,21164.0,21632.0,20205.0,19130.0,15551.0
148,Pakistan,226.0,234.0,135.0,140.0,180.0,220.0,251.0,279.0,319.0,341.0,397.0,456.0,430.0,422.0,439.0,421.0,425.0,439.0,485.0,470.0,480.0,506.0,554.0,533.0,560.0,630.0,613.0,601.0,590.0,575.0,556.0,519.0,557.0,618.0,694.0,768.0,871.0,952.0,926.0,970.0,1026.0,1219.0,1210.0,1215.0,1340.0,1410.0
149,Palau,875.0,946.0,1021.0,1103.0,1196.0,1305.0,1430.0,1574.0,1743.0,1922.0,2104.0,2282.0,2455.0,2631.0,2916.0,3241.0,3616.0,4044.0,4526.0,5057.0,5633.0,5992.0,6242.0,5588.0,6060.0,6729.0,7455.0,7616.0,7721.0,7329.0,7621.0,7832.0,8218.0,8255.0,8273.0,9037.0,9680.0,9695.0,9721.0,9600.0,9084.0,9124.0,9819.0,10451.0,11092.0,12122.0
150,Palestine,158.0,178.0,250.0,300.0,452.0,438.0,500.0,501.0,508.0,576.0,711.0,639.0,659.0,663.0,632.0,571.0,887.0,946.0,965.0,883.0,921.0,953.0,1125.0,1159.0,1137.0,1254.0,1243.0,1309.0,1356.0,1369.0,1338.0,1210.0,1052.0,1152.0,1234.0,1350.0,1341.0,1466.0,1731.0,1835.0,2191.0,2503.0,2624.0,2824.0,2800.0,2716.0
151,Panama,755.0,828.0,884.0,984.0,1094.0,1193.0,1234.0,1276.0,1475.0,1647.0,2049.0,2253.0,2331.0,2393.0,2474.0,2580.0,2666.0,2691.0,2353.0,2310.0,2459.0,2648.0,2949.0,3156.0,3297.0,3302.0,3335.0,3535.0,3755.0,3857.0,3837.0,3825.0,3903.0,4038.0,4349.0,4659.0,5072.0,6095.0,7009.0,7471.0,7987.0,9336.0,10672.0,11787.0,12712.0,13268.0
152,Papua New Guinea,448.0,487.0,566.0,831.0,914.0,821.0,860.0,921.0,1090.0,1221.0,1319.0,1260.0,1162.0,1127.0,1086.0,1001.0,1076.0,1247.0,1415.0,1340.0,1187.0,1363.0,1506.0,1669.0,1788.0,1542.0,1599.0,1489.0,1109.0,985.0,978.0,836.0,810.0,963.0,1057.0,1201.0,1332.0,1478.0,1766.0,1726.0,2074.0,2564.0,2973.0,2893.0,2975.0,2798.0
153,Paraguay,212.0,232.0,262.0,331.0,433.0,479.0,525.0,630.0,751.0,976.0,1236.0,1519.0,1535.0,1656.0,1319.0,1094.0,1265.0,1031.0,1335.0,940.0,1104.0,1277.0,1285.0,1338.0,1492.0,1694.0,1797.0,1781.0,1555.0,1405.0,1338.0,1192.0,1148.0,1175.0,1409.0,1507.0,1810.0,2312.0,3060.0,2600.0,3228.0,3988.0,3856.0,4480.0,4713.0,4174.0
154,Peru,437.0,474.0,512.0,597.0,733.0,871.0,809.0,711.0,594.0,739.0,959.0,1143.0,1135.0,860.0,881.0,743.0,1080.0,1730.0,1478.0,1626.0,1334.0,1542.0,1578.0,1494.0,1891.0,2220.0,2262.0,2342.0,2202.0,1964.0,1997.0,1982.0,2060.0,2181.0,2449.0,2755.0,3172.0,3612.0,4211.0,4167.0,5022.0,5772.0,6388.0,6577.0,6538.0,6069.0
155,Philippines (the),207.0,223.0,234.0,286.0,380.0,400.0,446.0,499.0,561.0,661.0,759.0,811.0,822.0,715.0,658.0,627.0,593.0,642.0,713.0,781.0,793.0,792.0,902.0,904.0,1040.0,1176.0,1285.0,1249.0,967.0,1088.0,1040.0,958.0,1001.0,1011.0,1080.0,1197.0,1395.0,1679.0,1929.0,1837.0,2145.0,2372.0,2605.0,2786.0,2873.0,2904.0
156,Poland,862.0,947.0,1039.0,1220.0,1357.0,1433.0,1583.0,1740.0,1953.0,2166.0,1652.0,1550.0,1864.0,2134.0,2118.0,1956.0,2025.0,1743.0,1871.0,2229.0,1727.0,2234.0,2458.0,2500.0,2875.0,3683.0,4144.0,4124.0,4524.0,4406.0,4466.0,4953.0,5167.0,5657.0,6634.0,7959.0,8960.0,11144.0,13856.0,11408.0,12426.0,13702.0,12959.0,13574.0,14116.0,12355.0
157,Portugal,935.0,1056.0,1276.0,1691.0,1934.0,2107.0,2183.0,2271.0,2457.0,2754.0,3372.0,3255.0,3092.0,2751.0,2542.0,2731.0,3904.0,4861.0,5694.0,6129.0,7960.0,9006.0,10822.0,9515.0,9937.0,11721.0,12118.0,11521.0,12158.0,12450.0,11515.0,11777.0,12954.0,15857.0,18118.0,18826.0,19831.0,22762.0,24771.0,23015.0,22514.0,23193.0,20577.0,21614.0,22075.0,19239.0
158,Puerto Rico,1884.0,2085.0,2303.0,2506.0,2704.0,2835.0,3048.0,3310.0,3664.0,4117.0,4592.0,5009.0,5200.0,5301.0,5822.0,6106.0,6552.0,7062.0,7678.0,8221.0,8822.0,9219.0,9790.0,10336.0,11005.0,11721.0,12362.0,13042.0,14549.0,15489.0,16479.0,18472.0,19140.0,20047.0,21288.0,22311.0,23276.0,23946.0,25117.0,25921.0,26520.0,27107.0,27482.0,27760.0,27692.0,27939.0
159,Qatar,4929.0,5984.0,7901.0,10577.0,12599.0,15028.0,18453.0,19244.0,20476.0,27445.0,35035.0,34962.0,27454.0,20968.0,20131.0,16583.0,12686.0,12866.0,13563.0,14011.0,15448.0,14189.0,15615.0,14542.0,14892.0,16243.0,17699.0,21389.0,18693.0,21718.0,29926.0,28577.0,30523.0,35222.0,43347.0,53207.0,61593.0,67612.0,82990.0,61464.0,70870.0,89116.0,94407.0,96719.0,97519.0,75274.0
160,Romania,619.0,727.0,830.0,956.0,991.0,1057.0,1176.0,1260.0,1472.0,1576.0,1613.0,1946.0,2259.0,2077.0,1773.0,2196.0,2381.0,2650.0,2729.0,2424.0,1728.0,1306.0,889.0,1203.0,1381.0,1640.0,1630.0,1583.0,1869.0,1623.0,1692.0,1852.0,2113.0,2756.0,3532.0,4657.0,5825.0,8176.0,10037.0,8163.0,8276.0,9217.0,8607.0,9677.0,10143.0,9121.0
161,Russian Federation (the),,,,,,,,,,,,,,,,,,,,,3869.0,3786.0,3305.0,3087.0,2752.0,2694.0,2648.0,2740.0,1838.0,1333.0,1774.0,2103.0,2379.0,2976.0,4102.0,5320.0,6906.0,9077.0,11604.0,8542.0,10652.0,14187.0,15145.0,15559.0,14160.0,9243.0
162,Rwanda,61.0,71.0,77.0,93.0,119.0,139.0,150.0,170.0,199.0,236.0,258.0,280.0,271.0,276.0,285.0,296.0,318.0,338.0,349.0,346.0,335.0,256.0,285.0,294.0,190.0,208.0,218.0,275.0,273.0,240.0,216.0,201.0,196.0,213.0,237.0,287.0,337.0,398.0,492.0,530.0,554.0,607.0,667.0,679.0,697.0,697.0
163,Saint Kitts and Nevis,556.0,674.0,793.0,836.0,1088.0,1153.0,978.0,1017.0,1123.0,1342.0,1567.0,1839.0,1973.0,2001.0,2267.0,2524.0,3004.0,3403.0,4038.0,4531.0,5112.0,5118.0,5547.0,5968.0,6552.0,6988.0,7346.0,8132.0,8214.0,8670.0,9219.0,9967.0,10283.0,9760.0,10378.0,11054.0,12771.0,13356.0,14463.0,13984.0,13467.0,14212.0,13690.0,14515.0,15430.0,15772.0
164,Saint Lucia,327.0,370.0,419.0,467.0,628.0,720.0,730.0,805.0,928.0,1109.0,1283.0,1449.0,1547.0,1656.0,1801.0,1970.0,2348.0,2523.0,2822.0,3138.0,3365.0,3570.0,3916.0,3873.0,3989.0,4199.0,4413.0,4433.0,4800.0,4989.0,4984.0,4652.0,4630.0,4981.0,5416.0,5656.0,6364.0,6721.0,6782.0,6716.0,7014.0,7193.0,7201.0,7327.0,7649.0,7839.0
165,Saint Vincent and the Grenadines,234.0,251.0,342.0,370.0,399.0,398.0,383.0,435.0,545.0,627.0,696.0,847.0,974.0,1083.0,1170.0,1277.0,1430.0,1587.0,1821.0,1963.0,2179.0,2327.0,2554.0,2609.0,2661.0,2887.0,3047.0,3215.0,3477.0,3616.0,3673.0,3982.0,4271.0,4447.0,4808.0,5064.0,5610.0,6220.0,6370.0,6177.0,6232.0,6184.0,6338.0,6597.0,6656.0,6739.0
166,Samoa,281.0,328.0,377.0,494.0,553.0,549.0,496.0,570.0,624.0,705.0,720.0,673.0,686.0,629.0,611.0,532.0,560.0,618.0,734.0,675.0,688.0,681.0,712.0,709.0,1174.0,1151.0,1287.0,1394.0,1301.0,1321.0,1323.0,1363.0,1495.0,1810.0,2152.0,2414.0,2488.0,3514.0,3581.0,3147.0,3651.0,4200.0,4235.0,4226.0,4296.0,4006.0
167,San Marino,4171.0,4547.0,5271.0,6346.0,7180.0,8123.0,7917.0,8931.0,10732.0,13179.0,15724.0,13993.0,13705.0,14045.0,13726.0,14017.0,19632.0,24438.0,26746.0,27533.0,34580.0,35971.0,37538.0,32821.0,35067.0,39410.0,44808.0,41797.0,44357.0,46423.0,41604.0,43270.0,46091.0,58041.0,67216.0,69333.0,73234.0,83268.0,91241.0,77642.0,69708.0,66388.0,57764.0,59412.0,58390.0,49240.0
168,Saudi Arabia,921.0,1179.0,1514.0,2232.0,6446.0,6296.0,8158.0,8943.0,9136.0,11998.0,16599.0,17457.0,13625.0,10799.0,9439.0,7776.0,6199.0,5845.0,5784.0,6022.0,7180.0,7818.0,7869.0,7422.0,7347.0,7593.0,8197.0,8367.0,7230.0,7765.0,8859.0,8367.0,8364.0,9239.0,10756.0,13274.0,14827.0,15947.0,19437.0,15655.0,18754.0,23256.0,24883.0,24646.0,24406.0,20711.0
169,Senegal,226.0,226.0,265.0,296.0,324.0,424.0,419.0,418.0,454.0,553.0,584.0,472.0,478.0,445.0,407.0,436.0,617.0,731.0,768.0,691.0,826.0,773.0,821.0,718.0,468.0,559.0,567.0,510.0,536.0,535.0,475.0,482.0,513.0,643.0,732.0,773.0,808.0,949.0,1095.0,1016.0,998.0,1076.0,1032.0,1043.0,1043.0,901.0
170,Serbia,,,,,,,,,,,,,,,,,,,,,5121.0,4860.0,3568.0,2538.0,2656.0,2861.0,2986.0,3178.0,2416.0,2441.0,870.0,1635.0,2149.0,2832.0,3331.0,3528.0,4130.0,5458.0,6702.0,5821.0,5412.0,6423.0,5659.0,6355.0,6203.0,5239.0
171,Seychelles,425.0,494.0,672.0,788.0,897.0,969.0,975.0,1247.0,1619.0,2361.0,2686.0,2743.0,2610.0,2564.0,2632.0,2922.0,3604.0,4302.0,4900.0,5250.0,6306.0,6327.0,7207.0,7651.0,7726.0,8005.0,7769.0,8668.0,9280.0,9387.0,9203.0,9044.0,9964.0,9869.0,9608.0,10357.0,11307.0,11379.0,10555.0,9175.0,10421.0,10856.0,11209.0,13817.0,14074.0,14133.0
172,Sierra Leone,181.0,190.0,205.0,230.0,259.0,271.0,247.0,275.0,348.0,392.0,432.0,453.0,498.0,424.0,507.0,397.0,271.0,222.0,339.0,312.0,224.0,268.0,234.0,267.0,320.0,307.0,333.0,299.0,235.0,229.0,212.0,258.0,283.0,298.0,297.0,325.0,360.0,400.0,454.0,435.0,446.0,498.0,629.0,796.0,794.0,695.0
173,Singapore,925.0,1075.0,1371.0,1929.0,2360.0,2559.0,2649.0,2892.0,3439.0,4092.0,5003.0,5831.0,6298.0,6969.0,7386.0,6850.0,6781.0,7654.0,9206.0,10665.0,12896.0,14668.0,16335.0,18426.0,21768.0,25237.0,27002.0,27418.0,22944.0,22572.0,24459.0,22192.0,22229.0,22800.0,26098.0,28343.0,32027.0,38029.0,39638.0,38752.0,46549.0,53023.0,54585.0,55557.0,55635.0,52239.0
174,Sint Maarten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27064.0,27548.0,28060.0,28070.0,28085.0,28242.0
175,Slovakia,,,,,,,,,,,,,,,,,,,,,3179.0,2218.0,2402.0,2578.0,2974.0,3722.0,4016.0,4068.0,4236.0,3861.0,3840.0,3969.0,4601.0,6300.0,7997.0,9093.0,10595.0,14267.0,17899.0,16464.0,16553.0,18143.0,17249.0,18172.0,18581.0,16082.0
176,Slovenia,,,,,,,,,,,,,,,,,,,,,9029.0,6578.0,6508.0,6602.0,7513.0,10683.0,10798.0,10437.0,11128.0,11410.0,10230.0,10499.0,11853.0,14937.0,17314.0,18204.0,19738.0,23848.0,27377.0,24595.0,23393.0,24910.0,22424.0,23096.0,23973.0,20690.0
177,Solomon Islands,200.0,208.0,219.0,282.0,391.0,335.0,359.0,392.0,456.0,584.0,622.0,678.0,662.0,484.0,663.0,591.0,520.0,510.0,597.0,553.0,667.0,687.0,790.0,833.0,916.0,1015.0,1091.0,1075.0,918.0,947.0,820.0,790.0,630.0,704.0,794.0,915.0,980.0,1195.0,1266.0,1240.0,1368.0,1619.0,1777.0,1885.0,1924.0,1842.0
178,Somalia,99.0,100.0,128.0,137.0,157.0,195.0,205.0,94.0,95.0,90.0,94.0,107.0,116.0,108.0,117.0,133.0,133.0,149.0,151.0,155.0,157.0,97.0,93.0,159.0,179.0,177.0,194.0,222.0,279.0,266.0,278.0,171.0,156.0,189.0,241.0,273.0,275.0,279.0,285.0,215.0,112.0,109.0,130.0,136.0,131.0,124.0
179,South Africa,829.0,891.0,911.0,1215.0,1487.0,1498.0,1402.0,1520.0,1706.0,2055.0,2886.0,2892.0,2585.0,2809.0,2425.0,1808.0,2019.0,2593.0,2729.0,2780.0,3172.0,3323.0,3518.0,3429.0,3488.0,3800.0,3548.0,3612.0,3210.0,3137.0,3083.0,2708.0,2501.0,3731.0,4796.0,5331.0,5540.0,6025.0,5696.0,5804.0,7271.0,7972.0,7501.0,6882.0,6509.0,5773.0
180,Korea (the Republic of),286.0,308.0,331.0,414.0,571.0,625.0,844.0,1068.0,1422.0,1805.0,1735.0,1904.0,2011.0,2215.0,2420.0,2476.0,2814.0,3514.0,4680.0,5724.0,6501.0,7513.0,8009.0,8773.0,10275.0,12454.0,13301.0,12311.0,8207.0,10570.0,12155.0,11465.0,13022.0,14466.0,16164.0,18866.0,21122.0,23290.0,20660.0,18480.0,22296.0,24363.0,24649.0,26192.0,28185.0,27397.0
181,South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1563.0,1696.0,946.0,1196.0,1348.0,1067.0
182,South Yemen,106.0,95.0,105.0,84.0,88.0,87.0,111.0,133.0,157.0,164.0,195.0,217.0,251.0,256.0,264.0,249.0,210.0,209.0,213.0,233.0,,,,,,,,,,,,,,,,,,,,,,,,,,
183,Soviet Union,1789.0,1863.0,2090.0,2479.0,2452.0,2704.0,2691.0,2861.0,3228.0,3435.0,3551.0,3396.0,3563.0,3653.0,3420.0,3302.0,3042.0,2831.0,2743.0,2711.0,,,,,,,,,,,,,,,,,,,,,,,,,,
184,Spain,1205.0,1355.0,1700.0,2234.0,2732.0,3187.0,3256.0,3600.0,4322.0,5722.0,6156.0,5326.0,5115.0,4438.0,4448.0,4655.0,6451.0,8161.0,9611.0,10577.0,13653.0,14651.0,15970.0,13252.0,13348.0,15414.0,16075.0,14719.0,15368.0,15676.0,14611.0,15182.0,16864.0,21349.0,24778.0,26388.0,28391.0,32720.0,35687.0,32379.0,30720.0,31858.0,28646.0,29314.0,29742.0,25865.0
185,Sri Lanka,225.0,226.0,248.0,264.0,323.0,328.0,306.0,340.0,229.0,275.0,325.0,340.0,358.0,381.0,430.0,425.0,444.0,456.0,482.0,476.0,542.0,603.0,642.0,682.0,766.0,838.0,899.0,967.0,1000.0,988.0,1019.0,971.0,1027.0,1124.0,1221.0,1430.0,1645.0,1869.0,2336.0,2398.0,2808.0,3214.0,3351.0,3621.0,3881.0,3974.0
186,Sudan,89.0,94.0,113.0,140.0,166.0,200.0,242.0,275.0,286.0,305.0,333.0,388.0,284.0,247.0,323.0,294.0,387.0,489.0,473.0,452.0,490.0,426.0,442.0,442.0,407.0,426.0,270.0,320.0,332.0,317.0,377.0,439.0,493.0,564.0,684.0,878.0,1097.0,1400.0,1464.0,1348.0,1494.0,1773.0,1612.0,1871.0,2081.0,2335.0
187,Suriname,960.0,1044.0,1142.0,1263.0,1539.0,1758.0,1918.0,2434.0,2788.0,2961.0,3002.0,3353.0,3445.0,3315.0,3221.0,3221.0,3238.0,3497.0,4059.0,1889.0,1844.0,1921.0,1938.0,1819.0,1889.0,1894.0,2322.0,2445.0,2884.0,2349.0,2406.0,2109.0,2754.0,3195.0,3690.0,4457.0,5296.0,5862.0,6973.0,7562.0,8431.0,8448.0,9422.0,9646.0,9737.0,8985.0
188,Swaziland,347.0,419.0,447.0,563.0,676.0,766.0,760.0,819.0,889.0,1022.0,1336.0,1435.0,1294.0,1335.0,1057.0,764.0,925.0,1171.0,1309.0,1300.0,1454.0,1500.0,1624.0,1611.0,1685.0,1974.0,1822.0,1914.0,1725.0,1651.0,1603.0,1418.0,1300.0,1995.0,2523.0,2813.0,2844.0,2963.0,2809.0,3047.0,3794.0,4091.0,3953.0,3687.0,3540.0,3212.0
189,Sweden,4666.0,5066.0,5943.0,7189.0,7967.0,9974.0,10720.0,11295.0,12447.0,14665.0,16856.0,15368.0,13548.0,12435.0,12919.0,13473.0,17711.0,21445.0,24130.0,25261.0,30161.0,31377.0,32302.0,24029.0,25724.0,29915.0,32556.0,29854.0,30109.0,30557.0,29282.0,26991.0,29615.0,37025.0,42495.0,43083.0,46222.0,53294.0,55706.0,46183.0,52053.0,59511.0,56990.0,60134.0,59137.0,50687.0
190,Switzerland,3925.0,4677.0,5692.0,7604.0,8723.0,9976.0,10436.0,11171.0,15671.0,17658.0,18832.0,17214.0,17572.0,17412.0,16524.0,16651.0,23731.0,29548.0,31770.0,30457.0,38572.0,38644.0,39789.0,38269.0,41943.0,48705.0,46690.0,40422.0,41467.0,40619.0,37911.0,38693.0,41580.0,48285.0,53578.0,55009.0,57375.0,63150.0,72131.0,69728.0,74223.0,87850.0,82897.0,84353.0,85577.0,80831.0
191,Syria,275.0,313.0,349.0,361.0,559.0,702.0,817.0,864.0,1002.0,1165.0,1468.0,1818.0,1835.0,1887.0,1873.0,942.0,884.0,895.0,1018.0,851.0,897.0,971.0,1095.0,1147.0,890.0,945.0,1028.0,1068.0,1122.0,1115.0,1202.0,1258.0,1281.0,1205.0,1389.0,1566.0,1768.0,2073.0,2615.0,2631.0,2918.0,2691.0,2005.0,1640.0,1816.0,1535.0
192,São Tomé and Príncipe,477.0,467.0,508.0,674.0,682.0,692.0,583.0,535.0,581.0,675.0,818.0,819.0,774.0,712.0,730.0,760.0,1046.0,1028.0,862.0,841.0,999.0,882.0,762.0,990.0,1013.0,785.0,1005.0,672.0,520.0,546.0,528.0,516.0,566.0,658.0,704.0,824.0,859.0,911.0,1193.0,1172.0,1206.0,1397.0,1481.0,1741.0,1968.0,1753.0
193,Tajikistan,,,,,,,,,,,,,,,,,,,,,537.0,504.0,359.0,302.0,239.0,211.0,176.0,154.0,217.0,176.0,139.0,172.0,191.0,238.0,311.0,340.0,407.0,524.0,711.0,672.0,744.0,841.0,962.0,1049.0,1113.0,926.0
194,Tanzania (mainland),179.0,185.0,204.0,236.0,275.0,306.0,321.0,372.0,432.0,443.0,500.0,559.0,573.0,560.0,499.0,534.0,366.0,249.0,281.0,291.0,277.0,303.0,261.0,230.0,230.0,260.0,313.0,358.0,384.0,384.0,394.0,391.0,396.0,416.0,444.0,476.0,468.0,533.0,657.0,665.0,701.0,733.0,820.0,908.0,955.0,877.0
195,Thailand,200.0,202.0,218.0,281.0,346.0,366.0,407.0,463.0,550.0,614.0,706.0,746.0,768.0,825.0,846.0,773.0,841.0,968.0,1161.0,1339.0,1561.0,1766.0,1997.0,2209.0,2494.0,2852.0,3052.0,2476.0,1853.0,2040.0,2012.0,1893.0,2094.0,2349.0,2643.0,2874.0,3351.0,3963.0,4385.0,4231.0,5112.0,5539.0,5915.0,6225.0,5970.0,5815.0
